id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-134,D1_Code,94.0,9.45,5.1763,0.000108,100.0,100.0,100.0,60.7,91.2,100.0,0.0,98.9,1,81.77
CIB-A1-135,D1_Code,92.0,9.45,10.9745,0.000229,100.0,100.0,100.0,49.3,87.3,100.0,0.0,98.9,1,80.38
CIB-A1-136,D1_Code,97.0,9.45,9.8159,0.000205,0.0,90.0,100.0,83.3,69.2,100.0,0.0,98.9,1,64.05
CIB-A1-137,D1_Code,96.0,9.45,5.8267,0.000121,0.0,90.0,100.0,81.9,68.7,100.0,0.0,98.9,1,63.87
CIB-A1-138,D1_Code,90.0,9.45,3.7796,0.000079,0.0,85.0,100.0,37.9,54.3,100.0,0.0,98.9,1,58.83
CIB-A1-139,D1_Code,89.0,9.45,5.7960,0.000121,0.0,90.0,100.0,50.6,59.2,100.0,0.0,98.9,1,60.55
CIB-A1-140,D1_Code,98.0,9.45,3.4820,0.000073,100.0,100.0,100.0,91.0,100.0,100.0,0.0,98.9,1,84.83
CIB-A1-141,D1_Code,91.0,9.45,14.0291,0.000292,100.0,100.0,100.0,43.6,85.2,100.0,0.0,97.8,1,79.52
CIB-A1-142,D1_Code,88.0,9.45,4.2498,0.000089,100.0,100.0,100.0,3.4,71.2,100.0,0.0,98.9,1,74.75
CIB-A1-143,D1_Code,93.0,9.45,3.3438,0.000070,100.0,100.0,100.0,45.6,86.0,100.0,0.0,98.9,1,79.93
CIB-A1-144,D1_Code,85.0,9.45,4.0299,0.000084,0.0,80.0,100.0,18.4,47.4,100.0,0.0,98.9,1,56.44
CIB-A1-145,D1_Code,87.0,9.45,20.5773,0.000429,100.0,100.0,100.0,4.1,71.4,100.0,0.0,95.0,1,74.25
CIB-A1-146,D1_Code,92.0,9.45,4.0985,0.000085,100.0,100.0,100.0,47.3,86.6,100.0,0.0,98.9,1,80.13
CIB-A1-147,D1_Code,91.0,9.45,17.4439,0.000363,100.0,100.0,100.0,45.5,85.9,100.0,0.0,96.6,1,79.57
CIB-A1-148,D1_Code,90.0,9.45,5.2613,0.000110,100.0,100.0,100.0,39.3,83.8,100.0,0.0,98.9,1,79.16
CIB-A1-149,D1_Code,85.0,9.45,4.4462,0.000093,100.0,100.0,100.0,-42.0,55.3,100.0,0.0,98.9,1,69.20
CIB-A1-150,D1_Code,84.0,9.45,3.8881,0.000081,0.0,85.0,100.0,-35.1,29.2,100.0,0.0,98.9,1,50.06
