id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,User_CSAT
CIB-A1-075,D1_Code,85.0,5.82,4.3139,9e-05,0.0,80.0,100.0,30.0,52.5,100.0,0.0,91.1,1.0,57.04,,,,,,,,,
CIB-A1-076,D1_Code,96.0,5.82,4.4705,9.3e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,90.8,1.0,83.19,,,,,,,,,
CIB-A1-077,D1_Code,95.5,5.82,3.1078,6.5e-05,100.0,100.0,100.0,35.0,83.8,100.0,0.0,93.6,1.0,78.36,,,,,,,,,
CIB-A1-078,D1_Code,94.0,5.82,1.4907,3.1e-05,100.0,100.0,100.0,90.0,97.5,100.0,0.0,96.9,1.0,83.66,,,,,,,,,
CIB-A1-079,D1_Code,98.0,5.82,0.9613,2e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,98.0,1.0,84.28,,,,,,,,,
CIB-A1-080,D1_Code,85.0,5.82,2.8957,6e-05,0.0,80.0,100.0,30.0,52.5,100.0,0.0,94.1,1.0,57.48,,,,,,,,,
CIB-A1-081,D1_Code,85.0,5.82,2.8599,6e-05,0.0,80.0,100.0,30.0,52.5,100.0,0.0,94.1,1.0,57.49,,,,,,,,,
CIB-A1-082,D1_Code,97.0,5.82,1.0358,2.2e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,97.9,1.0,84.26,,,,,,,,,
CIB-A1-083,D1_Code,90.0,5.82,2.9053,6.1e-05,0.0,90.0,100.0,40.0,57.5,100.0,0.0,94.0,1.0,59.23,,,,,,,,,
CIB-A1-084,D1_Code,93.0,5.82,10.0951,0.00021,0.0,95.0,100.0,70.0,66.3,100.0,0.0,79.3,1.0,60.09,,,,,,,,,
CIB-A1-085,D1_Code,90.0,5.82,1.1476,2.4e-05,0.0,85.0,100.0,40.0,56.3,100.0,0.0,97.6,1.0,59.35,,,,,,,,,
CIB-A1-086,D1_Code,80.0,5.82,1.0503,2.2e-05,0.0,70.0,100.0,20.0,47.5,100.0,0.0,97.8,1.0,56.3,,,,,,,,,
CIB-A1-087,D1_Code,94.0,5.82,4.3042,9e-05,0.0,95.0,100.0,90.0,71.3,100.0,0.0,91.2,1.0,63.62,,,,,,,,,
CIB-A1-088,D1_Code,92.0,5.82,9.443,0.000197,0.0,90.0,100.0,50.0,60.0,100.0,0.0,80.6,1.0,58.09,,,,,,,,,
CIB-A1-089,D1_Code,98.0,5.82,1.6656,3.5e-05,100.0,100.0,100.0,88.0,97.0,100.0,0.0,96.6,1.0,83.43,,,,,,,,,
CIB-A1-090,D1_Code,88.0,5.82,3.4569,7.2e-05,0.0,85.0,100.0,30.0,50.0,100.0,0.0,92.9,1.0,56.44,,,,,,,,,
CIB-A1-091,D1_Code,90.0,5.82,6.2036,0.000129,0.0,90.0,100.0,35.0,56.3,100.0,0.0,87.3,1.0,57.78,,,,,,,,,
CIB-A1-092,D1_Code,85.0,5.82,1.8375,3.8e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,96.2,1.0,56.93,,,,,,,,,
